Altium Designer Pick and Place Locations
F:\projects\gitt\Hardware\工装治具\PCB\Connector\Project Outputs for LB1020B\Pick Place\Pick Place for ConnectorBoard.txt
SMA16      *                      BottomLayer SMA-TH_HL-SMA-KHD4     2419.039      3053.001      90       ""          
SMA4       *                      BottomLayer SMA-TH_HL-SMA-KHD4     4093.039      3053.001      90       ""          
SMA21      *                      BottomLayer SMA-TH_HL-SMA-KHD4     1303.040      5178.999      270      ""          
SMA15      *                      BottomLayer SMA-TH_HL-SMA-KHD4     2416.039      3718.667      90       ""          
SMA12      *                      BottomLayer SMA-TH_HL-SMA-KHD4     2977.039      3053.001      90       ""          
SMA3       *                      BottomLayer SMA-TH_HL-SMA-KHD4     4093.039      3718.667      90       ""          
SMA20      *                      BottomLayer SMA-TH_HL-SMA-KHD4     1861.039      3053.001      90       ""          
SMA14      *                      BottomLayer SMA-TH_HL-SMA-KHD4     2416.040      4470.333      270      ""          
SMA8       *                      BottomLayer SMA-TH_HL-SMA-KHD4     3535.039      3053.001      90       ""          
SMA2       *                      BottomLayer SMA-TH_HL-SMA-KHD4     4093.040      4470.333      270      ""          
SMA19      *                      BottomLayer SMA-TH_HL-SMA-KHD4     1857.039      3718.667      90       ""          
SMA13      *                      BottomLayer SMA-TH_HL-SMA-KHD4     2421.040      5178.999      270      ""          
SMA7       *                      BottomLayer SMA-TH_HL-SMA-KHD4     3534.039      3718.667      90       ""          
SMA1       *                      BottomLayer SMA-TH_HL-SMA-KHD4     4098.040      5178.999      270      ""          
P21        KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 670.945       6929.990      270      ""          
P24        KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 225.039       1016.990      270      ""          
P9         KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 3346.378      6929.990      270      ""          
P6         KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 3792.283      6929.990      270      ""          
P23        KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 670.945       1016.990      270      ""          
P10        KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 2900.472      6929.990      270      ""          
P17        KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 1562.756      6929.990      270      ""          
P5         KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 4238.189      6929.990      270      ""          
P18        KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 1116.850      6929.990      270      ""          
P11        KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 3346.378      1016.990      270      ""          
P16        KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 2008.661      1016.990      270      ""          
P4         KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 4684.094      1016.990      270      ""          
P22        KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 225.039       6929.990      270      ""          
P15        KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 2454.567      1016.990      270      ""          
P12        KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 2900.472      1016.990      270      ""          
P3         KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 5130.000      1025.000      270      ""          
P20        KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 1116.850      1015.000      270      ""          
P14        KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 2008.661      6929.990      270      ""          
P8         KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 3792.283      1016.990      270      ""          
P2         KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 4684.094      6929.990      270      ""          
P19        KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 1562.756      1010.000      270      ""          
P13        KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 2454.567      6929.990      270      ""          
P7         KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 4238.189      1016.990      270      ""          
P1         KH-2.54PH180-2X8P-L8.9 BottomLayer IDC-TH_16P-P2.54_C3406 5130.000      6929.990      270      ""          
