单色点阵汉字库索引表
==========================================================================================
序号     字符   Unicode    偏移(像素区)      宽度     高度     行字节   
280    昌    0x0000660C   0x00002300     16     16     2     
281    猖    0x00007316   0x00002320     16     16     2     
282    场    0x0000573A   0x00002340     16     16     2     
283    尝    0x00005C1D   0x00002360     16     16     2     
284    常    0x00005E38   0x00002380     16     16     2     
285    长    0x0000957F   0x000023A0     16     16     2     
286    偿    0x0000507F   0x000023C0     16     16     2     
287    肠    0x000080A0   0x000023E0     16     16     2     
288    厂    0x00005382   0x00002400     16     16     2     
289    敞    0x0000655E   0x00002420     16     16     2     
290    畅    0x00007545   0x00002440     16     16     2     
291    唱    0x00005531   0x00002460     16     16     2     
292    倡    0x00005021   0x00002480     16     16     2     
293    超    0x00008D85   0x000024A0     16     16     2     
294    抄    0x00006284   0x000024C0     16     16     2     
295    钞    0x0000949E   0x000024E0     16     16     2     
296    朝    0x0000671D   0x00002500     16     16     2     
297    嘲    0x00005632   0x00002520     16     16     2     
298    潮    0x00006F6E   0x00002540     16     16     2     
299    巢    0x00005DE2   0x00002560     16     16     2     
300    吵    0x00005435   0x00002580     16     16     2     
301    炒    0x00007092   0x000025A0     16     16     2     
302    车    0x00008F66   0x000025C0     16     16     2     
303    扯    0x0000626F   0x000025E0     16     16     2     
304    撤    0x000064A4   0x00002600     16     16     2     
305    掣    0x000063A3   0x00002620     16     16     2     
306    彻    0x00005F7B   0x00002640     16     16     2     
307    澈    0x00006F88   0x00002660     16     16     2     
308    郴    0x000090F4   0x00002680     16     16     2     
309    臣    0x000081E3   0x000026A0     16     16     2     
310    辰    0x00008FB0   0x000026C0     16     16     2     
311    尘    0x00005C18   0x000026E0     16     16     2     
312    晨    0x00006668   0x00002700     16     16     2     
313    忱    0x00005FF1   0x00002720     16     16     2     
314    沉    0x00006C89   0x00002740     16     16     2     
315    陈    0x00009648   0x00002760     16     16     2     
316    趁    0x00008D81   0x00002780     16     16     2     
317    衬    0x0000886C   0x000027A0     16     16     2     
318    撑    0x00006491   0x000027C0     16     16     2     
319    称    0x000079F0   0x000027E0     16     16     2     
320    城    0x000057CE   0x00002800     16     16     2     
321    橙    0x00006A59   0x00002820     16     16     2     
322    成    0x00006210   0x00002840     16     16     2     
323    呈    0x00005448   0x00002860     16     16     2     
324    乘    0x00004E58   0x00002880     16     16     2     
325    程    0x00007A0B   0x000028A0     16     16     2     
326    惩    0x000060E9   0x000028C0     16     16     2     
327    澄    0x00006F84   0x000028E0     16     16     2     
328    诚    0x00008BDA   0x00002900     16     16     2     
329    承    0x0000627F   0x00002920     16     16     2     
330    逞    0x0000901E   0x00002940     16     16     2     
331    骋    0x00009A8B   0x00002960     16     16     2     
332    秤    0x000079E4   0x00002980     16     16     2     
333    吃    0x00005403   0x000029A0     16     16     2     
334    痴    0x000075F4   0x000029C0     16     16     2     
335    持    0x00006301   0x000029E0     16     16     2     
336    匙    0x00005319   0x00002A00     16     16     2     
337    池    0x00006C60   0x00002A20     16     16     2     
338    迟    0x00008FDF   0x00002A40     16     16     2     
339    弛    0x00005F1B   0x00002A60     16     16     2     
340    驰    0x00009A70   0x00002A80     16     16     2     
341    耻    0x0000803B   0x00002AA0     16     16     2     
342    齿    0x00009F7F   0x00002AC0     16     16     2     
343    侈    0x00004F88   0x00002AE0     16     16     2     
344    尺    0x00005C3A   0x00002B00     16     16     2     
345    赤    0x00008D64   0x00002B20     16     16     2     
346    翅    0x00007FC5   0x00002B40     16     16     2     
347    斥    0x000065A5   0x00002B60     16     16     2     
348    炽    0x000070BD   0x00002B80     16     16     2     
349    充    0x00005145   0x00002BA0     16     16     2     
350    冲    0x000051B2   0x00002BC0     16     16     2     
351    虫    0x0000866B   0x00002BE0     16     16     2     
352    崇    0x00005D07   0x00002C00     16     16     2     
353    宠    0x00005BA0   0x00002C20     16     16     2     
354    抽    0x000062BD   0x00002C40     16     16     2     
355    酬    0x0000916C   0x00002C60     16     16     2     
356    畴    0x00007574   0x00002C80     16     16     2     
357    踌    0x00008E0C   0x00002CA0     16     16     2     
358    稠    0x00007A20   0x00002CC0     16     16     2     
359    愁    0x00006101   0x00002CE0     16     16     2     
360    筹    0x00007B79   0x00002D00     16     16     2     
361    仇    0x00004EC7   0x00002D20     16     16     2     
362    绸    0x00007EF8   0x00002D40     16     16     2     
363    瞅    0x00007785   0x00002D60     16     16     2     
364    丑    0x00004E11   0x00002D80     16     16     2     
365    臭    0x000081ED   0x00002DA0     16     16     2     
366    初    0x0000521D   0x00002DC0     16     16     2     
367    出    0x000051FA   0x00002DE0     16     16     2     
368    橱    0x00006A71   0x00002E00     16     16     2     
369    厨    0x000053A8   0x00002E20     16     16     2     
370    躇    0x00008E87   0x00002E40     16     16     2     
371    锄    0x00009504   0x00002E60     16     16     2     
372    雏    0x000096CF   0x00002E80     16     16     2     
373    滁    0x00006EC1   0x00002EA0     16     16     2     
374    除    0x00009664   0x00002EC0     16     16     2     
375    楚    0x0000695A   0x00002EE0     16     16     2     
376    础    0x00007840   0x00002F00     16     16     2     
377    储    0x000050A8   0x00002F20     16     16     2     
378    矗    0x000077D7   0x00002F40     16     16     2     
379    搐    0x00006410   0x00002F60     16     16     2     
380    触    0x000089E6   0x00002F80     16     16     2     
381    处    0x00005904   0x00002FA0     16     16     2     
382    揣    0x000063E3   0x00002FC0     16     16     2     
383    川    0x00005DDD   0x00002FE0     16     16     2     
384    穿    0x00007A7F   0x00003000     16     16     2     
385    椽    0x0000693D   0x00003020     16     16     2     
386    传    0x00004F20   0x00003040     16     16     2     
387    船    0x00008239   0x00003060     16     16     2     
388    喘    0x00005598   0x00003080     16     16     2     
389    串    0x00004E32   0x000030A0     16     16     2     
390    疮    0x000075AE   0x000030C0     16     16     2     
391    窗    0x00007A97   0x000030E0     16     16     2     
392    幢    0x00005E62   0x00003100     16     16     2     
393    床    0x00005E8A   0x00003120     16     16     2     
394    闯    0x000095EF   0x00003140     16     16     2     
395    创    0x0000521B   0x00003160     16     16     2     
396    吹    0x00005439   0x00003180     16     16     2     
397    炊    0x0000708A   0x000031A0     16     16     2     
398    捶    0x00006376   0x000031C0     16     16     2     
399    锤    0x00009524   0x000031E0     16     16     2     
400    垂    0x00005782   0x00003200     16     16     2     
401    春    0x00006625   0x00003220     16     16     2     
402    椿    0x0000693F   0x00003240     16     16     2     
403    醇    0x00009187   0x00003260     16     16     2     
404    唇    0x00005507   0x00003280     16     16     2     
405    淳    0x00006DF3   0x000032A0     16     16     2     
406    纯    0x00007EAF   0x000032C0     16     16     2     
407    蠢    0x00008822   0x000032E0     16     16     2     
408    戳    0x00006233   0x00003300     16     16     2     
409    绰    0x00007EF0   0x00003320     16     16     2     
410    疵    0x000075B5   0x00003340     16     16     2     
411    茨    0x00008328   0x00003360     16     16     2     
412    磁    0x000078C1   0x00003380     16     16     2     
413    雌    0x000096CC   0x000033A0     16     16     2     
414    辞    0x00008F9E   0x000033C0     16     16     2     
415    慈    0x00006148   0x000033E0     16     16     2     
416    瓷    0x000074F7   0x00003400     16     16     2     
417    词    0x00008BCD   0x00003420     16     16     2     
418    此    0x00006B64   0x00003440     16     16     2     
419    刺    0x0000523A   0x00003460     16     16     2     
420    赐    0x00008D50   0x00003480     16     16     2     
421    次    0x00006B21   0x000034A0     16     16     2     
422    聪    0x0000806A   0x000034C0     16     16     2     
423    葱    0x00008471   0x000034E0     16     16     2     
424    囱    0x000056F1   0x00003500     16     16     2     
425    匆    0x00005306   0x00003520     16     16     2     
426    从    0x00004ECE   0x00003540     16     16     2     
427    丛    0x00004E1B   0x00003560     16     16     2     
428    凑    0x000051D1   0x00003580     16     16     2     
429    粗    0x00007C97   0x000035A0     16     16     2     
430    醋    0x0000918B   0x000035C0     16     16     2     
431    簇    0x00007C07   0x000035E0     16     16     2     
432    促    0x00004FC3   0x00003600     16     16     2     
433    蹿    0x00008E7F   0x00003620     16     16     2     
434    篡    0x00007BE1   0x00003640     16     16     2     
435    窜    0x00007A9C   0x00003660     16     16     2     
436    摧    0x00006467   0x00003680     16     16     2     
437    崔    0x00005D14   0x000036A0     16     16     2     
438    催    0x000050AC   0x000036C0     16     16     2     
439    脆    0x00008106   0x000036E0     16     16     2     
440    瘁    0x00007601   0x00003700     16     16     2     
441    粹    0x00007CB9   0x00003720     16     16     2     
442    淬    0x00006DEC   0x00003740     16     16     2     
443    翠    0x00007FE0   0x00003760     16     16     2     
444    村    0x00006751   0x00003780     16     16     2     
445    存    0x00005B58   0x000037A0     16     16     2     
446    寸    0x00005BF8   0x000037C0     16     16     2     
447    磋    0x000078CB   0x000037E0     16     16     2     
448    撮    0x000064AE   0x00003800     16     16     2     
449    搓    0x00006413   0x00003820     16     16     2     
450    措    0x000063AA   0x00003840     16     16     2     
451    挫    0x0000632B   0x00003860     16     16     2     
452    错    0x00009519   0x00003880     16     16     2     
453    搭    0x0000642D   0x000038A0     16     16     2     
454    达    0x00008FBE   0x000038C0     16     16     2     
455    答    0x00007B54   0x000038E0     16     16     2     
456    瘩    0x00007629   0x00003900     16     16     2     
457    打    0x00006253   0x00003920     16     16     2     
458    大    0x00005927   0x00003940     16     16     2     
459    呆    0x00005446   0x00003960     16     16     2     
460    歹    0x00006B79   0x00003980     16     16     2     
461    傣    0x000050A3   0x000039A0     16     16     2     
462    戴    0x00006234   0x000039C0     16     16     2     
463    带    0x00005E26   0x000039E0     16     16     2     
464    殆    0x00006B86   0x00003A00     16     16     2     
465    代    0x00004EE3   0x00003A20     16     16     2     
466    贷    0x00008D37   0x00003A40     16     16     2     
467    袋    0x0000888B   0x00003A60     16     16     2     
468    待    0x00005F85   0x00003A80     16     16     2     
469    逮    0x0000902E   0x00003AA0     16     16     2     
470    怠    0x00006020   0x00003AC0     16     16     2     
471    耽    0x0000803D   0x00003AE0     16     16     2     
472    担    0x000062C5   0x00003B00     16     16     2     
473    丹    0x00004E39   0x00003B20     16     16     2     
474    单    0x00005355   0x00003B40     16     16     2     
475    郸    0x000090F8   0x00003B60     16     16     2     
476    掸    0x000063B8   0x00003B80     16     16     2     
477    胆    0x000080C6   0x00003BA0     16     16     2     
478    旦    0x000065E6   0x00003BC0     16     16     2     
479    氮    0x00006C2E   0x00003BE0     16     16     2     
480    但    0x00004F46   0x00003C00     16     16     2     
481    惮    0x000060EE   0x00003C20     16     16     2     
482    淡    0x00006DE1   0x00003C40     16     16     2     
483    诞    0x00008BDE   0x00003C60     16     16     2     
484    弹    0x00005F39   0x00003C80     16     16     2     
485    蛋    0x000086CB   0x00003CA0     16     16     2     
486    当    0x00005F53   0x00003CC0     16     16     2     
487    挡    0x00006321   0x00003CE0     16     16     2     
488    党    0x0000515A   0x00003D00     16     16     2     
489    荡    0x00008361   0x00003D20     16     16     2     
490    档    0x00006863   0x00003D40     16     16     2     
491    刀    0x00005200   0x00003D60     16     16     2     
492    捣    0x00006363   0x00003D80     16     16     2     
493    蹈    0x00008E48   0x00003DA0     16     16     2     
494    倒    0x00005012   0x00003DC0     16     16     2     
495    岛    0x00005C9B   0x00003DE0     16     16     2     
496    祷    0x00007977   0x00003E00     16     16     2     
497    导    0x00005BFC   0x00003E20     16     16     2     
498    到    0x00005230   0x00003E40     16     16     2     
499    稻    0x00007A3B   0x00003E60     16     16     2     
500    悼    0x000060BC   0x00003E80     16     16     2     
501    道    0x00009053   0x00003EA0     16     16     2     
502    盗    0x000076D7   0x00003EC0     16     16     2     
503    德    0x00005FB7   0x00003EE0     16     16     2     
504    得    0x00005F97   0x00003F00     16     16     2     
505    的    0x00007684   0x00003F20     16     16     2     
506    蹬    0x00008E6C   0x00003F40     16     16     2     
507    灯    0x0000706F   0x00003F60     16     16     2     
508    登    0x0000767B   0x00003F80     16     16     2     
509    等    0x00007B49   0x00003FA0     16     16     2     
510    瞪    0x000077AA   0x00003FC0     16     16     2     
511    凳    0x000051F3   0x00003FE0     16     16     2     
512    邓    0x00009093   0x00004000     16     16     2     
513    堤    0x00005824   0x00004020     16     16     2     
514    低    0x00004F4E   0x00004040     16     16     2     
515    滴    0x00006EF4   0x00004060     16     16     2     
516    迪    0x00008FEA   0x00004080     16     16     2     
517    敌    0x0000654C   0x000040A0     16     16     2     
518    笛    0x00007B1B   0x000040C0     16     16     2     
519    狄    0x000072C4   0x000040E0     16     16     2     
520    涤    0x00006DA4   0x00004100     16     16     2     
521    翟    0x00007FDF   0x00004120     16     16     2     
522    嫡    0x00005AE1   0x00004140     16     16     2     
523    抵    0x000062B5   0x00004160     16     16     2     
524    底    0x00005E95   0x00004180     16     16     2     
525    地    0x00005730   0x000041A0     16     16     2     
526    蒂    0x00008482   0x000041C0     16     16     2     
527    第    0x00007B2C   0x000041E0     16     16     2     
528    帝    0x00005E1D   0x00004200     16     16     2     
529    弟    0x00005F1F   0x00004220     16     16     2     
530    递    0x00009012   0x00004240     16     16     2     
531    缔    0x00007F14   0x00004260     16     16     2     
532    颠    0x000098A0   0x00004280     16     16     2     
533    掂    0x00006382   0x000042A0     16     16     2     
534    滇    0x00006EC7   0x000042C0     16     16     2     
535    碘    0x00007898   0x000042E0     16     16     2     
536    点    0x000070B9   0x00004300     16     16     2     
537    典    0x00005178   0x00004320     16     16     2     
538    靛    0x0000975B   0x00004340     16     16     2     
539    垫    0x000057AB   0x00004360     16     16     2     
540    电    0x00007535   0x00004380     16     16     2     
541    佃    0x00004F43   0x000043A0     16     16     2     
542    甸    0x00007538   0x000043C0     16     16     2     
543    店    0x00005E97   0x000043E0     16     16     2     
