Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"MIPI_TX1/RX1_D2N","OffPage","16.RK3399 DVP","16","SCHEMATIC1","U10P.AL9","890","520","2B","[21]"
"MIPI_TX1/RX1_D2N","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J7.5","651","922","4B","[16]"
"HDMI_TX1P","OffPage","17.RK3399 Display","17","SCHEMATIC1","U10N.AK18","310","120","4D","[20]"
"HDMI_TX1P","OffPage","20.HDMI","20","SCHEMATIC1","J4.4,U18.4,U18.7","277","725","5A","[17]"
"MAC_COL","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10I.D27","510","260","4D","[19]"
"MAC_COL","OffPage","19.GMAC","19","SCHEMATIC1","R148.2","1625","671","1C","[15]"
"MIPI_TX1/RX1_D2P","OffPage","16.RK3399 DVP","16","SCHEMATIC1","U10P.AK9","890","510","2B","[21]"
"MIPI_TX1/RX1_D2P","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J7.6","651","932","4B","[16]"
"MIPI_TX1/RX1_CLKN","OffPage","16.RK3399 DVP","16","SCHEMATIC1","U10P.AL8","890","490","2B","[21]"
"MIPI_TX1/RX1_CLKN","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J7.8","651","952","4B","[16]"
"MAC_RXD1","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10I.F27","510","150","4D","[19]"
"MAC_RXD1","OffPage","19.GMAC","19","SCHEMATIC1","R137.2","1625","431","1C","[15]"
"MIPI_TX1/RX1_CLKP","OffPage","16.RK3399 DVP","16","SCHEMATIC1","U10P.AK8","890","480","2B","[21]"
"MIPI_TX1/RX1_CLKP","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J7.9","651","962","4B","[16]"
"HDMI_TXCP","OffPage","17.RK3399 Display","17","SCHEMATIC1","U10N.AK16","310","180","4D","[20]"
"HDMI_TXCP","OffPage","20.HDMI","20","SCHEMATIC1","J4.10,U17.4,U17.7","277","765","5A","[17]"
"MIPI_TX1/RX1_D1N","OffPage","16.RK3399 DVP","16","SCHEMATIC1","U10P.AL7","890","460","2B","[21]"
"MIPI_TX1/RX1_D1N","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J7.11","651","982","4B","[16]"
"MIPI_TX1/RX1_D1P","OffPage","16.RK3399 DVP","16","SCHEMATIC1","U10P.AK7","890","450","2B","[21]"
"MIPI_TX1/RX1_D1P","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J7.12","651","992","4B","[16]"
"MIPI_TX1/RX1_D0N","OffPage","16.RK3399 DVP","16","SCHEMATIC1","U10P.AL6","890","430","2B","[21]"
"MIPI_TX1/RX1_D0N","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J7.14","651","1012","4B","[16]"
"HDMI_TX2P","OffPage","17.RK3399 Display","17","SCHEMATIC1","U10N.AK19","310","150","4D","[20]"
"HDMI_TX2P","OffPage","20.HDMI","20","SCHEMATIC1","J4.1,U18.1,U18.10","277","745","5A","[17]"
"MAC_TXCLK","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10I.E28","510","270","4D","[19]"
"MAC_TXCLK","OffPage","19.GMAC","19","SCHEMATIC1","U15.22","1625","551","1C","[15]"
"TYPEC0_RX2P","OffPage","14.RK3399 USB/USIC","14","SCHEMATIC1","U10S.AK23","710","180","3D","[24]"
"TYPEC0_RX2P","OffPage","24.USB TYPEC","24","SCHEMATIC1","J11.A11,U27.4,U27.7","1623","1233","3B","[14]"
"MIPI_TX1/RX1_D0P","OffPage","16.RK3399 DVP","16","SCHEMATIC1","U10P.AK6","890","420","2B","[21]"
"MIPI_TX1/RX1_D0P","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J7.15","651","1022","4B","[16]"
"MAC_RXDV","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10I.C27","510","180","4D","[19]"
"MAC_RXDV","OffPage","19.GMAC","19","SCHEMATIC1","R135.2","1625","391","1C","[15]"
"MAC_RXD3","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10I.E25","510","110","4D","[19]"
"MAC_RXD3","OffPage","19.GMAC","19","SCHEMATIC1","R139.2","1625","471","1C","[15]"
"PWR_KEY_L","OffPage","05.POWER1-RK808-D","5","SCHEMATIC1","D1.1","300","800","4A","[5,11]"
"PWR_KEY_L","OffPage","05.POWER1-RK808-D","5","SCHEMATIC1","D1.1","340","340","4C","[5,11]"
"PWR_KEY_L","OffPage","11.RK3399 PMU","11","SCHEMATIC1","U10C.V27","810","210","2C","[5]"
"HDMI_TX1N","OffPage","17.RK3399 Display","17","SCHEMATIC1","U10N.AL18","310","130","4D","[20]"
"HDMI_TX1N","OffPage","20.HDMI","20","SCHEMATIC1","J4.6,U18.5,U18.6","277","735","5A","[17]"
"HDMI_CEC","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10K.AD7","1400","1020","2B","[20]"
"HDMI_CEC","OffPage","20.HDMI","20","SCHEMATIC1","Q16.2,R156.2","277","785","5A","[15]"
"PMIC_EXT_EN","OffPage","05.POWER1-RK808-D","5","SCHEMATIC1","U1.55","850","720","3A","[7]"
"PMIC_EXT_EN","OffPage","07.POWER3-3.3V/5V","7","SCHEMATIC1","R41.1","830","170","3D","[5]"
"HDMI_TX0N","OffPage","17.RK3399 Display","17","SCHEMATIC1","U10N.AL17","310","100","4D","[20]"
"HDMI_TX0N","OffPage","20.HDMI","20","SCHEMATIC1","J4.9,U17.2,U17.9","277","715","5A","[17]"
"TYPEC0_DP","OffPage","14.RK3399 USB/USIC","14","SCHEMATIC1","U10D.AG23","350","120","4D","[24]"
"TYPEC0_DP","OffPage","24.USB TYPEC","24","SCHEMATIC1","ED22.1,J11.A6,J11.B6","1563","983","3B","[14]"
"PORT_HPD","OffPage","17.RK3399 Display","17","SCHEMATIC1","R109.2","460","210","3C","[20]"
"PORT_HPD","OffPage","20.HDMI","20","SCHEMATIC1","J4.19,U16.5,U16.6","277","795","5A","[17]"
"HDMI_TXCN","OffPage","17.RK3399 Display","17","SCHEMATIC1","U10N.AL16","310","190","4D","[20]"
"HDMI_TXCN","OffPage","20.HDMI","20","SCHEMATIC1","J4.12,U17.5,U17.6","277","775","5A","[17]"
"MAC_MDIO","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10I.G26","510","220","4D","[19]"
"MAC_MDIO","OffPage","19.GMAC","19","SCHEMATIC1","R143.2,U15.31","1625","621","1C","[15]"
"CSI_RST_H","OffPage","11.RK3399 PMU","11","SCHEMATIC1","U10C.U28","810","250","2C","[21]"
"CSI_RST_H","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J7.20","701","1072","4B","[11]"
"EMMC_D7","OffPage","12.RK3399 eMMC TF","12","SCHEMATIC1","U10H.K30","320","120","4D","[18]"
"EMMC_D7","OffPage","18.emmc","18","SCHEMATIC1","U14A.J6","452","580","4C","[12]"
"TYPEC0_DM","OffPage","14.RK3399 USB/USIC","14","SCHEMATIC1","U10D.AH23","350","130","4D","[24]"
"TYPEC0_DM","OffPage","24.USB TYPEC","24","SCHEMATIC1","ED21.1,J11.A7,J11.B7","1563","973","3C","[14]"
"HOST0_DM","OffPage","14.RK3399 USB/USIC","14","SCHEMATIC1","U10D.AB31","350","100","4D","[25]"
"HOST0_DM","OffPage","25.PCIE&IO","25","SCHEMATIC1","J13.18","470","1050","4B","[14,25]"
"HOST0_DM","OffPage","25.PCIE&IO","25","SCHEMATIC1","J13.18","554","930","4B","[14,25]"
"EMMC_STRB","OffPage","12.RK3399 eMMC TF","12","SCHEMATIC1","R85.2,U10H.K31","400","160","4D","[18]"
"EMMC_STRB","OffPage","18.emmc","18","SCHEMATIC1","U14A.R5","452","680","4C","[12]"
"VCC5V0_TYPEC_EN","OffPage","16.RK3399 DVP","16","SCHEMATIC1","U10L.F31","380","180","4D","[24]"
"VCC5V0_TYPEC_EN","OffPage","24.USB TYPEC","24","SCHEMATIC1","R212.1,U22.4","2293","1063","2B","[16]"
"RTC_CLKO_SOC","OffPage","05.POWER1-RK808-D","5","SCHEMATIC1","R4.1,U1.68","968","698","2B","[5,11]"
"RTC_CLKO_SOC","OffPage","05.POWER1-RK808-D","5","SCHEMATIC1","R4.1,U1.68","340","350","4C","[5,11]"
"RTC_CLKO_SOC","OffPage","11.RK3399 PMU","11","SCHEMATIC1","U10C.U31","810","160","2D","[5]"
"EDP_CABC_EN","OffPage","11.RK3399 PMU","11","SCHEMATIC1","U10C.N24","810","180","2D","[21]"
"EDP_CABC_EN","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J7.21","701","1082","4B","[11]"
"TYPEC0_TX2P","OffPage","14.RK3399 USB/USIC","14","SCHEMATIC1","U10S.AL24","710","150","3D","[24]"
"TYPEC0_TX2P","OffPage","24.USB TYPEC","24","SCHEMATIC1","C390.1","1623","1203","3B","[14]"
"RESET_L","OffPage","05.POWER1-RK808-D","5","SCHEMATIC1","R3.2,U1.20","450","710","4B","[11]"
"RESET_L","OffPage","11.RK3399 PMU","11","SCHEMATIC1","C236.2,U10C.T30","200","160","5D","[5]"
"MAC_TXD0","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10I.D26","510","120","4D","[19]"
"MAC_TXD0","OffPage","19.GMAC","19","SCHEMATIC1","U15.23","1625","581","1C","[15]"
"I2C_SCL","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10E.P30","1470","210","2D","[24]"
"I2C_SCL","OffPage","24.USB TYPEC","24","SCHEMATIC1","R213.2,U23.6","963","1203","4B","[15,24]"
"I2C_SCL","OffPage","24.USB TYPEC","24","SCHEMATIC1","R213.2,U23.6","836","1462","4B","[15,24]"
"PMIC_INT_L","OffPage","05.POWER1-RK808-D","5","SCHEMATIC1","U1.49","450","670","4B","[15]"
"PMIC_INT_L","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10E.M30","1470","310","2D","[5]"
"EMMC_D4","OffPage","12.RK3399 eMMC TF","12","SCHEMATIC1","U10H.J26","320","90","4D","[18]"
"EMMC_D4","OffPage","18.emmc","18","SCHEMATIC1","U14A.J3","452","550","4C","[12]"
"LCD_EN_H1","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10K.AG4","1400","1100","2A","[21]"
"LCD_EN_H1","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J7.22","701","1092","4B","[15]"
"I2C_SCL_CAM","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","R102.1,U10J.Y6","540","1100","4A","[21,22]"
"I2C_SCL_CAM","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J7.23","701","1102","4B","[15,22]"
"I2C_SCL_CAM","OffPage","22.AUDIO","22","SCHEMATIC1","U19.35","324","231","5D","[15,21]"
"TYPEC0_TX2N","OffPage","14.RK3399 USB/USIC","14","SCHEMATIC1","U10S.AK24","710","160","3D","[24]"
"TYPEC0_TX2N","OffPage","24.USB TYPEC","24","SCHEMATIC1","C389.1","1623","1193","3B","[14]"
"I2C_SDA_CAM","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","R101.1,U10J.AG1","540","1090","4A","[21,22]"
"I2C_SDA_CAM","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J7.24","701","1112","4B","[15,22]"
"I2C_SDA_CAM","OffPage","22.AUDIO","22","SCHEMATIC1","U19.36","323","241","5D","[15,21]"
"MAC_RXD0","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10I.E26","510","140","4D","[19]"
"MAC_RXD0","OffPage","19.GMAC","19","SCHEMATIC1","R136.2","1625","411","1C","[15]"
"I2C_SDA","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10E.P31","1470","200","2D","[24]"
"I2C_SDA","OffPage","24.USB TYPEC","24","SCHEMATIC1","R214.2,U23.7","963","1213","4B","[15,24]"
"I2C_SDA","OffPage","24.USB TYPEC","24","SCHEMATIC1","R214.2,U23.7","836","1480","4B","[15,24]"
"I2C_SCL_PMIC","OffPage","05.POWER1-RK808-D","5","SCHEMATIC1","U1.19","450","650","4B","[6,15]"
"I2C_SCL_PMIC","OffPage","06.POWER2-CPU/GPU/ETC","6","SCHEMATIC1","U3.A3,U8.A3","210","170","5D","[5,15]"
"I2C_SCL_PMIC","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","R98.1,U10E.N30","1580","260","1D","[5,6]"
"PMIC_SLEEP_H","OffPage","05.POWER1-RK808-D","5","SCHEMATIC1","U1.50","450","660","4B","[7,15]"
"PMIC_SLEEP_H","OffPage","07.POWER3-3.3V/5V","7","SCHEMATIC1","Q12.1,Q13.1,Q14.1","650","870","3A","[5,7,15]"
"PMIC_SLEEP_H","OffPage","07.POWER3-3.3V/5V","7","SCHEMATIC1","Q12.1,Q13.1,Q14.1","1120","740","2A","[5,7,15]"
"PMIC_SLEEP_H","OffPage","07.POWER3-3.3V/5V","7","SCHEMATIC1","Q12.1,Q13.1,Q14.1","190","870","5A","[5,7,15]"
"PMIC_SLEEP_H","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10E.R30","1470","130","2D","[5,7]"
"CTP1_INT","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10K.AJ3","1400","1090","2A","[21]"
"CTP1_INT","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J7.25","701","1122","4A","[15]"
"CSI_EN_CTP_RST","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10K.AH3","1400","1060","2A","[21]"
"CSI_EN_CTP_RST","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J7.26","701","1132","4A","[15]"
"CSI_EN_H","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10E.R28","1540","120","2D","[21]"
"CSI_EN_H","OffPage","21.MIPI-CSI","21","SCHEMATIC1","J5.26","710","683","4C","[15]"
"EMMC_D5","OffPage","12.RK3399 eMMC TF","12","SCHEMATIC1","U10H.J27","320","100","4D","[18]"
"EMMC_D5","OffPage","18.emmc","18","SCHEMATIC1","U14A.J4","452","560","4C","[12]"
"TYPEC0_SBU1_DC","OffPage","14.RK3399 USB/USIC","14","SCHEMATIC1","U10S.AH17","710","300","3C","[24]"
"TYPEC0_SBU1_DC","OffPage","24.USB TYPEC","24","SCHEMATIC1","R210.1","1503","1043","3B","[14]"
"EMMC_DAT1","OffPage","27.SPR2801S","27","SCHEMATIC1","U34B.F2","579","319","4D","[28]"
"EMMC_DAT1","OffPage","28.GL3224","28","SCHEMATIC1","U35.27","871","1014","3B","[27]"
"MMC_DAT1","OffPage","28.GL3224","28","SCHEMATIC1","U35.27","756","1014","4B","[27,28]"
"MMC_DAT1","OffPage","28.GL3224","28","SCHEMATIC1","U35.27","1474","408","2C","[27,28]"
"EMMC_D3","OffPage","12.RK3399 eMMC TF","12","SCHEMATIC1","U10H.J25","320","80","4D","[18]"
"EMMC_D3","OffPage","18.emmc","18","SCHEMATIC1","U14A.J2","452","540","4C","[12]"
"TYPEC0_RX1N","OffPage","14.RK3399 USB/USIC","14","SCHEMATIC1","U10S.AL21","710","130","3D","[24]"
"TYPEC0_RX1N","OffPage","24.USB TYPEC","24","SCHEMATIC1","J11.B10,U24.5,U24.6","1623","1163","3B","[14]"
"EMMC_CMD","OffPage","12.RK3399 eMMC TF","12","SCHEMATIC1","U10H.J31","320","150","4D","[18]"
"EMMC_CMD","OffPage","18.emmc","18","SCHEMATIC1","R114.2,U14A.W5","452","600","4C","[12]"
"MAC_MDC","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10I.E29","510","170","4D","[19]"
"MAC_MDC","OffPage","19.GMAC","19","SCHEMATIC1","U15.30","1625","611","1C","[15]"
"TYPEC0_SBU2","OffPage","14.RK3399 USB/USIC","14","SCHEMATIC1","U10S.AL20","710","280","3C","[24]"
"TYPEC0_SBU2","OffPage","24.USB TYPEC","24","SCHEMATIC1","C381.1","1503","1023","3B","[14]"
"TYPEC0_SBU1","OffPage","14.RK3399 USB/USIC","14","SCHEMATIC1","U10S.AK20","710","270","3D","[24]"
"TYPEC0_SBU1","OffPage","24.USB TYPEC","24","SCHEMATIC1","C379.1","1503","1013","3B","[14]"
"EMMC_D2","OffPage","12.RK3399 eMMC TF","12","SCHEMATIC1","U10H.J30","320","70","4D","[18]"
"EMMC_D2","OffPage","18.emmc","18","SCHEMATIC1","U14A.H5","452","530","4C","[12]"
"EMMC_DAT5","OffPage","27.SPR2801S","27","SCHEMATIC1","U34B.H2","579","359","4C","[28]"
"EMMC_DAT5","OffPage","28.GL3224","28","SCHEMATIC1","U35.37","507","968","4B","[27]"
"MMC_DAT5","OffPage","28.GL3224","28","SCHEMATIC1","U35.37","1397","155","2D","[27,28]"
"MMC_DAT5","OffPage","28.GL3224","28","SCHEMATIC1","U35.37","392","968","4B","[27,28]"
"I2C_SDA_PMIC","OffPage","05.POWER1-RK808-D","5","SCHEMATIC1","U1.18","450","640","4B","[6,15]"
"I2C_SDA_PMIC","OffPage","06.POWER2-CPU/GPU/ETC","6","SCHEMATIC1","U3.B1,U8.B1","210","160","5D","[5,15]"
"I2C_SDA_PMIC","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","R97.1,U10E.M26","1580","240","1D","[5,6]"
"MAC_TXD1","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10I.G23","510","130","4D","[19]"
"MAC_TXD1","OffPage","19.GMAC","19","SCHEMATIC1","U15.24","1625","591","1C","[15]"
"TYPEC0_TX1P","OffPage","14.RK3399 USB/USIC","14","SCHEMATIC1","U10S.AL22","710","90","3D","[24]"
"TYPEC0_TX1P","OffPage","24.USB TYPEC","24","SCHEMATIC1","C388.1","1623","1143","3B","[14]"
"EMMC_DAT6","OffPage","27.SPR2801S","27","SCHEMATIC1","U34B.J2","578","369","4C","[28]"
"EMMC_DAT6","OffPage","28.GL3224","28","SCHEMATIC1","U35.42","512","903","4B","[27]"
"MMC_DAT6","OffPage","28.GL3224","28","SCHEMATIC1","U35.42","1392","106","2D","[27,28]"
"MMC_DAT6","OffPage","28.GL3224","28","SCHEMATIC1","U35.42","397","903","4B","[27,28]"
"TYPEC0_TX1N","OffPage","14.RK3399 USB/USIC","14","SCHEMATIC1","U10S.AK22","710","100","3D","[24]"
"TYPEC0_TX1N","OffPage","24.USB TYPEC","24","SCHEMATIC1","C386.1","1623","1133","3B","[14]"
"EMMC_DAT4","OffPage","27.SPR2801S","27","SCHEMATIC1","U34B.G1","578","349","4D","[28]"
"EMMC_DAT4","OffPage","28.GL3224","28","SCHEMATIC1","U35.38","510","947","4B","[27]"
"MMC_DAT4","OffPage","28.GL3224","28","SCHEMATIC1","U35.38","1394","142","2D","[27,28]"
"MMC_DAT4","OffPage","28.GL3224","28","SCHEMATIC1","U35.38","395","947","4B","[27,28]"
"EMMC_D6","OffPage","12.RK3399 eMMC TF","12","SCHEMATIC1","U10H.L31","320","110","4D","[18]"
"EMMC_D6","OffPage","18.emmc","18","SCHEMATIC1","U14A.J5","452","570","4C","[12]"
"MAC_TXD3","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10I.H23","510","90","4D","[19]"
"MAC_TXD3","OffPage","19.GMAC","19","SCHEMATIC1","U15.26","1625","561","1C","[15]"
"SV_RSTN","OffPage","27.SPR2801S","27","SCHEMATIC1","U34A.H12","1488","330","2D","[28]"
"SV_RSTN","OffPage","28.GL3224","28","SCHEMATIC1","C460.1,D10.3,D9.3,R242.1","1259","1313","2A","[27]"
"EMMC_CLKO","OffPage","12.RK3399 eMMC TF","12","SCHEMATIC1","R83.2","320","140","4D","[18]"
"EMMC_CLKO","OffPage","18.emmc","18","SCHEMATIC1","R115.1,TP21.1","452","620","4C","[12]"
"MAC_TXD2","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10I.F24","510","80","4D","[19]"
"MAC_TXD2","OffPage","19.GMAC","19","SCHEMATIC1","U15.25","1625","571","1C","[15]"
"EMMC_D0","OffPage","12.RK3399 eMMC TF","12","SCHEMATIC1","U10H.J28","320","50","4D","[18]"
"EMMC_D0","OffPage","18.emmc","18","SCHEMATIC1","U14A.H3","452","510","4C","[12]"
"MAC_RXCLK","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10I.F25","510","230","4D","[19]"
"MAC_RXCLK","OffPage","19.GMAC","19","SCHEMATIC1","R126.2","1625","301","1D","[15]"
"EMMC_DAT0","OffPage","27.SPR2801S","27","SCHEMATIC1","U34B.E1","578","309","4D","[28]"
"EMMC_DAT0","OffPage","28.GL3224","28","SCHEMATIC1","U35.28","874","993","3B","[27]"
"MMC_DAT0","OffPage","28.GL3224","28","SCHEMATIC1","U35.28","759","993","4B","[27,28]"
"MMC_DAT0","OffPage","28.GL3224","28","SCHEMATIC1","U35.28","1474","398","2C","[27,28]"
"EMMC_D1","OffPage","12.RK3399 eMMC TF","12","SCHEMATIC1","U10H.J29","320","60","4D","[18]"
"EMMC_D1","OffPage","18.emmc","18","SCHEMATIC1","U14A.H4","452","520","4C","[12]"
"MAC_CRS","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10I.B27","510","240","4D","[19]"
"MAC_CRS","OffPage","19.GMAC","19","SCHEMATIC1","R149.2","1625","701","1C","[15]"
"EMMC_CLK","OffPage","27.SPR2801S","27","SCHEMATIC1","U34B.D1","578","279","4D","[28]"
"EMMC_CLK","OffPage","28.GL3224","28","SCHEMATIC1","U35.29","872","968","3B","[27]"
"MMC_CLK","OffPage","28.GL3224","28","SCHEMATIC1","U35.29","1474","388","2C","[27,28]"
"MMC_CLK","OffPage","28.GL3224","28","SCHEMATIC1","U35.29","757","968","4B","[27,28]"
"HOST0_DP","OffPage","14.RK3399 USB/USIC","14","SCHEMATIC1","U10D.AB30","350","90","4D","[25]"
"HOST0_DP","OffPage","25.PCIE&IO","25","SCHEMATIC1","J13.16","470","1060","4B","[14,25]"
"HOST0_DP","OffPage","25.PCIE&IO","25","SCHEMATIC1","J13.16","554","920","4B","[14,25]"
"MAC_RXD2","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10I.E30","510","100","4D","[19]"
"MAC_RXD2","OffPage","19.GMAC","19","SCHEMATIC1","R138.2","1625","451","1C","[15]"
"CHG_CC_INT","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10E.R26","1470","100","2D","[24]"
"CHG_CC_INT","OffPage","24.USB TYPEC","24","SCHEMATIC1","R215.2,U23.5","963","1223","4B","[15,24]"
"CHG_CC_INT","OffPage","24.USB TYPEC","24","SCHEMATIC1","R215.2,U23.5","836","1507","4A","[15,24]"
"EMMC_CMD_SPR","OffPage","27.SPR2801S","27","SCHEMATIC1","U34B.E2","578","289","4D","[28]"
"EMMC_CMD_SPR","OffPage","28.GL3224","28","SCHEMATIC1","U35.30","875","947","3B","[27]"
"MMC_CMD","OffPage","28.GL3224","28","SCHEMATIC1","U35.30","1474","378","2C","[27,28]"
"MMC_CMD","OffPage","28.GL3224","28","SCHEMATIC1","U35.30","760","947","4B","[27,28]"
"TYPEC0_SBU2_DC","OffPage","14.RK3399 USB/USIC","14","SCHEMATIC1","U10S.AG17","710","310","3C","[24]"
"TYPEC0_SBU2_DC","OffPage","24.USB TYPEC","24","SCHEMATIC1","R207.1","1503","1053","3B","[14]"
"TYPEC0_RX1P","OffPage","14.RK3399 USB/USIC","14","SCHEMATIC1","U10S.AK21","710","120","3D","[24]"
"TYPEC0_RX1P","OffPage","24.USB TYPEC","24","SCHEMATIC1","J11.B11,U24.4,U24.7","1623","1173","3B","[14]"
"EMMC_DAT3","OffPage","27.SPR2801S","27","SCHEMATIC1","U34B.G2","579","339","4D","[28]"
"EMMC_DAT3","OffPage","28.GL3224","28","SCHEMATIC1","U35.31","876","925","3B","[27]"
"MMC_DAT3","OffPage","28.GL3224","28","SCHEMATIC1","U35.31","1474","368","2C","[27,28]"
"MMC_DAT3","OffPage","28.GL3224","28","SCHEMATIC1","U35.31","761","925","4B","[27,28]"
"TYPEC0_RX2N","OffPage","14.RK3399 USB/USIC","14","SCHEMATIC1","U10S.AL23","710","190","3D","[24]"
"TYPEC0_RX2N","OffPage","24.USB TYPEC","24","SCHEMATIC1","J11.A10,U27.5,U27.6","1623","1223","3B","[14]"
"EMMC_DAT2","OffPage","27.SPR2801S","27","SCHEMATIC1","U34B.F1","578","329","4D","[28]"
"EMMC_DAT2","OffPage","28.GL3224","28","SCHEMATIC1","U35.32","877","903","3B","[27]"
"MMC_DAT2","OffPage","28.GL3224","28","SCHEMATIC1","U35.32","1474","358","2C","[27,28]"
"MMC_DAT2","OffPage","28.GL3224","28","SCHEMATIC1","U35.32","762","903","4B","[27,28]"
"UART2DBG_TX","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10K.AJ4","1400","990","2B","[25]"
"UART2DBG_TX","OffPage","25.PCIE&IO","25","SCHEMATIC1","R220.1","1276","1018","2B","[15]"
"UART2DBG_RX","OffPage","15.RK3399 GPIO","15","SCHEMATIC1","U10K.AK2","1400","980","2B","[25]"
"UART2DBG_RX","OffPage","25.PCIE&IO","25","SCHEMATIC1","R221.1,R222.2","1279","1028","2B","[15]"
"EMMC_DAT7","OffPage","27.SPR2801S","27","SCHEMATIC1","U34B.K3","579","379","4C","[28]"
